time,run_index,msg_size,cwnd
3719.299,1,10000000,15795
3774.9226,1,10000000,17145
3835.4207,1,10000000,18495
3899.8577,1,10000000,19845
3967.7969,1,10000000,21195
4006.911,1,10000000,22545
4046.912,1,10000000,23895
4089.3154,1,10000000,25245
4169.953,1,10000000,26595
4212.456,1,10000000,27945
4258.502,1,10000000,29295
4305.45,1,10000000,30645
4356.96,1,10000000,31995
4424.328,1,10000000,33345
4475.438,1,10000000,34695
4527.737,1,10000000,36045
4636.24,1,10000000,37395
4693.577,1,10000000,38745
4751.553,1,10000000,40095
4868.174,1,10000000,41445
4926.0444,1,10000000,42795
4990.842,1,10000000,44145
5110.7285,1,10000000,45495
5171.295,1,10000000,46845
5237.9326,1,10000000,48195
5306.6733,1,10000000,49545
5436.064,1,10000000,50895
5501.66,1,10000000,52245
5574.613,1,10000000,53595
5710.416,1,10000000,54945
5779.735,1,10000000,56295
5855.7173,1,10000000,57645
5998.9023,1,10000000,58995
6071.425,1,10000000,60345
6150.6953,1,10000000,61695
6232.3677,1,10000000,63045
6383.0635,1,10000000,64395
6460.703,1,10000000,65745
6545.9688,1,10000000,67095
6664.9204,1,10000000,68445
6876.825,1,10000000,69795
6967.209,1,10000000,71145
7065.8345,1,10000000,72495
7164.103,1,10000000,73845
7264.5576,1,10000000,75195
7456.775,1,10000000,76545
7554.554,1,10000000,77895
7662.4478,1,10000000,79245
7862.94,1,10000000,80595
7961.558,1,10000000,81945
8071.534,1,10000000,83295
8279.12,1,10000000,84645
8381.084,1,10000000,85995
8492.455,1,10000000,87345
8705.43,1,10000000,88695
8809.74,1,10000000,90045
8924.014,1,10000000,91395
9145.136,1,10000000,92745
9251.998,1,10000000,94095
9371.514,1,10000000,95445
9598.509,1,10000000,96795
9708.158,1,10000000,98145
9829.585,1,10000000,99495
10059.385,1,10000000,100845
10171.391,1,10000000,102195
10295.668,1,10000000,103545
10531.801,1,10000000,104895
10645.711,1,10000000,106245
10773.124,1,10000000,107595
11011.52,1,10000000,108945
11127.519,1,10000000,110295
11256.946,1,10000000,111645
11500.715,1,10000000,112995
11618.836,1,10000000,114345
11751.368,1,10000000,115695
12001.548,1,10000000,117045
12120.796,1,10000000,118395
12254.415,1,10000000,119745
