cluster,run_index,msg_size,client_ip,fc_bytes,fc_pkts,uc_bytes,uc_pkts,data_bytes,data_pkts,first_data,last_data,rate_mbps,fc_data_span_ms,aligned,uc_aligned
rennes,0,10000,10.158.4.6,10485,9,3718,7,10485,9,767.0548,767.1272,1158.563535911346,0.07240000000001601,False,False
rennes,0,10000,10.158.4.60,10485,9,3718,7,10485,9,1103.3987,1103.5076,770.2479338846604,0.1088999999999487,False,False
rennes,0,10000,10.158.4.61,10485,9,3718,7,10485,9,1108.3387,1108.5127,482.0689655173019,0.17399999999997817,False,False
rennes,0,10000,10.158.4.62,10485,9,3718,7,10485,9,622.35016,622.58704,354.1033434649829,0.23688000000004195,False,False
rennes,0,10000,10.158.4.63,10485,9,3718,7,10485,9,627.7446,627.97144,369.7760536060034,0.22684000000003834,False,False
rennes,0,10000,10.158.4.64,10485,9,3718,7,10485,9,633.5157,633.7351,382.3154056518638,0.21939999999995052,False,False
rennes,0,10000,10.158.4.65,10485,9,3718,7,10485,9,638.7617,638.97363,395.7910630869833,0.21192999999993845,False,False
rennes,0,10000,10.158.4.66,10485,9,3718,7,10485,9,643.88727,643.96295,1108.3509513737101,0.07568000000003394,False,False
rennes,0,10000,10.158.4.67,10485,9,3718,7,10485,9,648.8823,649.09644,391.70636032494224,0.21414000000004307,False,False
rennes,0,10000,10.158.4.68,10485,9,3718,7,10485,9,653.6579,653.8622,410.57268722469115,0.20429999999998927,False,False
rennes,0,10000,10.158.4.69,10485,9,3718,7,10485,9,658.36676,658.55383,448.3883038436038,0.18706999999994878,False,False
rennes,0,10000,10.158.4.7,10485,9,3718,7,10485,9,771.6255,771.92145,283.4262544348117,0.29595000000006166,False,False
rennes,0,10000,10.158.4.70,10485,9,3718,7,10485,9,663.285,663.4712,450.4833512352666,0.18619999999998527,False,False
rennes,0,10000,10.158.4.71,10485,9,3718,7,10485,9,669.0379,669.1204,1016.7272727274969,0.08249999999998181,False,False
rennes,0,10000,10.158.4.72,10485,9,3718,7,10485,9,673.67456,673.89417,381.9498201357147,0.21960999999998876,False,False
rennes,0,10000,10.158.4.73,10485,9,3718,7,10485,9,679.09143,679.1618,1191.9852209744176,0.07037000000002536,False,False
rennes,0,10000,10.158.4.74,10485,9,3718,7,10485,9,683.69507,683.88934,431.77021670879236,0.19426999999996042,False,False
rennes,0,10000,10.158.4.75,10485,9,3718,7,10485,9,689.1859,689.3747,444.2796610169145,0.18880000000001473,False,False
rennes,0,10000,10.158.4.76,10485,9,3718,7,10485,9,693.4719,693.6788,405.4132431125781,0.20690000000001874,False,False
rennes,0,10000,10.158.4.8,10485,9,3718,7,10485,9,776.5656,776.8491,295.8730158730121,0.28350000000000364,False,False
rennes,0,10000,10.158.4.9,10485,9,3718,7,10485,9,781.5855,781.8569,309.0641120118232,0.27139999999997144,False,False
toulouse,0,10000,10.160.0.10,10485,9,3718,7,10485,9,775.8473,776.1235,303.6929761042535,0.2762000000000171,False,False
toulouse,0,10000,10.160.0.11,10485,9,3718,7,10485,9,779.7442,779.9169,485.69774174848027,0.17270000000007713,False,False
toulouse,0,10000,10.160.0.12,10485,9,3718,7,10485,9,783.5723,783.84705,305.29572338497724,0.27474999999992633,False,False
toulouse,0,10000,10.160.0.13,10485,9,14211,18,20880,18,788.104,10818.003,0.01665420559070435,0.27699999999992997,False,False
toulouse,0,10000,10.160.0.14,10485,9,3718,7,10485,9,791.9007,792.17804,302.44465277279056,0.27733999999998105,False,False
toulouse,0,10000,10.160.0.15,10485,9,14211,18,20880,18,796.3948,10825.175,0.016656063516079456,0.2828999999999269,False,False
toulouse,0,10000,10.160.0.16,10485,9,3718,7,10485,9,801.3739,801.6495,304.35413642967404,0.27559999999994034,False,False
toulouse,0,10000,10.160.0.17,10485,9,3718,7,10485,9,871.9846,872.157,486.54292343376534,0.17240000000003874,False,False
toulouse,0,10000,10.160.0.18,10485,9,4050,8,10485,9,875.71796,875.8916,483.06841741508816,0.17364000000009128,False,False
toulouse,0,10000,10.160.0.19,10485,9,4050,8,10485,9,879.8103,879.95917,563.4446161080589,0.14886999999998807,False,False
toulouse,0,10000,10.160.0.2,10485,9,3773,8,10485,9,741.7931,742.049,327.7842907385737,0.2558999999999969,False,False
toulouse,0,10000,10.160.0.20,0,0,3718,7,0,0,,,,,False,False
toulouse,0,10000,10.160.0.21,10485,9,4171,9,10485,9,887.8281,888.0624,358.0025608193466,0.23430000000007567,False,False
toulouse,0,10000,10.160.0.22,10485,9,3718,7,10485,9,891.04596,891.3309,294.3777637397285,0.28494000000000597,False,False
toulouse,0,10000,10.160.0.23,0,0,3718,7,0,0,,,,,False,False
toulouse,0,10000,10.160.0.24,10485,9,3718,7,10485,9,900.1172,900.2823,508.0557238039445,0.16509999999993852,False,False
toulouse,0,10000,10.160.0.25,10485,9,14272,19,20929,19,904.8028,10934.559,0.016693526408947012,0.26903999999990447,False,False
toulouse,0,10000,10.160.0.26,10485,9,3773,8,10485,9,911.2353,911.40717,488.043288532317,0.17186999999989894,False,False
toulouse,0,10000,10.160.0.27,10485,9,3773,8,10485,9,915.55304,915.7922,350.72754641248775,0.23915999999996984,False,False
toulouse,0,10000,10.160.0.28,10485,9,3718,7,10485,9,919.3613,919.5327,489.3815635940788,0.1713999999999487,False,False
toulouse,0,10000,10.160.0.29,10485,9,3718,7,10485,9,923.6833,923.85736,481.90279214080624,0.17405999999994037,False,False
toulouse,0,10000,10.160.0.3,10485,9,3718,7,10485,9,746.1422,746.4077,315.93220338986083,0.26549999999997453,False,False
toulouse,0,10000,10.160.0.30,10485,9,14211,18,20880,18,929.9455,10958.781,0.016655971672882654,0.2524399999999787,False,False
toulouse,0,10000,10.160.0.31,10485,9,3718,7,10485,9,934.011,934.2545,344.4763860369044,0.24350000000004002,False,False
toulouse,0,10000,10.160.0.32,10485,9,3718,7,10485,9,899.6715,899.91644,342.45121254194675,0.24493999999992866,False,False
toulouse,0,10000,10.160.0.33,10485,9,4007,7,10485,9,903.581,903.8524,309.0641120118232,0.27139999999997144,False,False
toulouse,0,10000,10.160.0.34,10485,9,14211,18,20880,18,908.2621,10937.872,0.016654685642359827,0.16639999999995325,False,False
toulouse,0,10000,10.160.0.35,10485,9,4099,9,10485,9,913.1468,913.3844,353.030303030239,0.2376000000000431,False,False
toulouse,0,10000,10.160.0.36,10485,9,3718,7,10485,9,916.88403,917.162,301.7591826456287,0.27796999999998206,False,False
toulouse,0,10000,10.160.0.37,10485,9,3718,7,10485,9,921.5158,921.76776,332.90998571209707,0.25195999999994,False,False
toulouse,0,10000,10.160.0.38,10485,9,3816,9,10485,9,926.4531,926.721,313.10190369534536,0.2679000000000542,False,False
toulouse,0,10000,10.160.0.39,10485,9,3718,7,10485,9,930.6329,930.8841,333.91719745217637,0.25120000000003984,False,False
toulouse,0,10000,10.160.0.4,10485,9,3879,10,10485,9,750.85565,750.8975,2004.3010752655764,0.041850000000067666,False,False
toulouse,0,10000,10.160.0.40,10485,9,3718,7,10485,9,934.4022,934.6753,307.14024166971865,0.27309999999999945,False,False
toulouse,0,10000,10.160.0.41,10485,9,14211,18,20880,18,938.7473,10968.625,0.016654240958491447,0.17399999999997817,False,False
toulouse,0,10000,10.160.0.42,10485,9,3718,7,10485,9,942.9222,943.09717,479.3964679658541,0.17497000000003027,False,False
toulouse,0,10000,10.160.0.43,10485,9,3718,7,10485,9,946.52014,946.7935,306.84811237925186,0.27336000000002514,False,False
toulouse,0,10000,10.160.0.44,10485,9,3718,7,10485,9,950.87805,951.1495,309.0071836434434,0.2714499999999589,False,False
toulouse,0,10000,10.160.0.45,10485,9,14211,18,20880,18,955.4426,10984.9795,0.016654806863515306,0.1892400000000407,False,False
toulouse,0,10000,10.160.0.46,10485,9,3718,7,10485,9,959.2124,959.5,291.65507649513455,0.28759999999999764,False,False
toulouse,0,10000,10.160.0.47,10485,9,3924,11,10485,9,606.85394,606.9199,1271.6798059426444,0.06596000000001823,False,False
toulouse,0,10000,10.160.0.48,10485,9,3718,7,10485,9,610.9389,611.0015,1339.936102236959,0.0625999999999749,False,False
toulouse,0,10000,10.160.0.49,10485,9,14315,20,20929,19,614.81287,10643.639,0.016695074561034393,0.08632999999997537,False,False
toulouse,0,10000,10.160.0.5,10485,9,3718,7,10485,9,755.91547,755.9756,1394.9775486455715,0.06012999999995827,False,False
toulouse,0,10000,10.160.0.50,10485,9,3718,7,10485,9,618.4008,618.4664,1278.658536585022,0.06560000000001764,False,False
toulouse,0,10000,10.160.0.51,10485,9,3816,9,10485,9,622.2391,622.3241,986.8235294113423,0.08500000000003638,False,False
toulouse,0,10000,10.160.0.52,10485,9,14211,18,20880,18,626.9439,10655.789,0.016655955729139738,0.06870000000003529,False,False
toulouse,0,10000,10.160.0.53,10485,9,3718,7,10485,9,631.3231,631.386,1333.5453100156167,0.06290000000001328,False,False
toulouse,0,10000,10.160.0.54,0,0,14168,17,10395,9,649.2027,10637.922,0.008325391624529882,,False,False
toulouse,0,10000,10.160.0.55,10485,9,14211,18,20880,18,641.50555,10670.351,0.01665595514785802,0.055050000000051114,False,False
toulouse,0,10000,10.160.0.56,10485,9,3718,7,10485,9,645.52136,645.57654,1520.115984050431,0.055180000000063956,False,False
toulouse,0,10000,10.160.0.57,10485,9,14211,18,20880,18,649.70703,10678.481,0.016656073863034724,0.08096999999997934,False,False
toulouse,0,10000,10.160.0.58,10485,9,3718,7,10485,9,653.9502,654.00684,1480.9322033894177,0.05664000000001579,False,False
toulouse,0,10000,10.160.0.59,10485,9,3718,7,10485,9,658.1865,658.27045,999.166170339977,0.08394999999995889,False,False
toulouse,0,10000,10.160.0.6,10485,9,3816,9,10485,9,759.5443,759.7173,484.85549132947466,0.17300000000000182,False,False
toulouse,0,10000,10.160.0.60,10485,9,3718,7,10485,9,662.0414,662.0964,1525.0909090891437,0.055000000000063665,False,False
toulouse,0,10000,10.160.0.61,10485,9,3718,7,10485,9,667.09,667.1476,1456.2500000005198,0.057599999999979445,False,False
toulouse,0,10000,10.160.0.62,10485,9,3816,9,10485,9,828.49835,828.67096,485.9509877756943,0.17261000000007698,False,False
toulouse,0,10000,10.160.0.63,10485,9,3718,7,10485,9,832.78143,832.9531,488.6118716142882,0.17166999999994914,False,False
toulouse,0,10000,10.160.0.64,10485,9,3718,7,10485,9,836.99146,837.1435,551.6969218624632,0.15204000000005635,False,False
toulouse,0,10000,10.160.0.65,10485,9,14211,18,20880,18,841.09937,10870.783,0.01665456321078395,0.2733699999999999,False,False
toulouse,0,10000,10.160.0.66,10485,9,3718,7,10485,9,845.9416,846.1863,342.7870862280817,0.24469999999996617,False,False
toulouse,0,10000,10.160.0.67,10485,9,14211,18,20880,18,852.1494,10880.978,0.016655983132466738,0.16980000000000928,False,False
