cluster,msg_size,time
lyon,1000,5074.234
lyon,1000,5047.916
lyon,1000,5054.57
lyon,1000,5059.506
lyon,1000,5065.63
lyon,1000,5147.3936
lyon,1000,5071.949
rennes,1000,5065.3994
rennes,1000,5069.931
rennes,1000,5074.2783
rennes,1000,5078.6357
rennes,1000,5084.4507
nantes,1000,5002.9873
nantes,1000,5007.925
nantes,1000,5014.0117
nantes,1000,5020.69
lyon,1000,5153.2354
nantes,1000,5027.6235
nantes,1000,4985.837
nantes,1000,4992.462
nantes,1000,4997.2754
nantes,1000,5004.2124
nantes,1000,5009.6416
lyon,1000,5000.5107
lyon,1000,5007.514
lyon,1000,5012.212
lyon,1000,5018.833
nancy,1000,5222.591
lyon,1000,5024.0366
nancy,1000,5068.57
nancy,1000,5072.283
nancy,1000,5075.9683
nancy,1000,5079.9404
nancy,1000,5083.634
nancy,1000,5057.973
nancy,1000,5061.5874
nancy,1000,5065.7573
nancy,1000,5069.255
nancy,1000,5226.01
nancy,1000,5073.758
rennes,1000,4860.8486
rennes,1000,4865.7573
rennes,1000,4870.5566
rennes,1000,4875.0933
rennes,1000,4879.1875
lyon,1000,4835.2026
lyon,1000,4839.0757
lyon,1000,4845.432
lyon,1000,4850.659
nancy,1000,5229.746
lyon,1000,4858.1475
rennes,1000,4835.337
rennes,1000,4840.169
rennes,1000,4845.1616
rennes,1000,4849.794
rennes,1000,4854.136
nantes,1000,4774.5386
nantes,1000,4780.688
nantes,1000,4785.9067
nantes,1000,4793.69
nancy,1000,5233.4614
nantes,1000,4798.8228
nancy,1000,4900.192
nancy,1000,4903.534
nancy,1000,4908.0503
nancy,1000,4911.577
nancy,1000,4915.0283
rennes,1000,4804.3545
rennes,1000,4808.5264
rennes,1000,4813.3403
rennes,1000,4818.2085
lyon,1000,5163.9775
nancy,1000,5270.767
rennes,1000,4970.528
rennes,1000,5151.5986
rennes,1000,5156.5117
rennes,1000,5161.734
rennes,1000,5166.25
rennes,1000,5171.5386
nantes,1000,5135.7207
nantes,1000,5141.814
nantes,1000,5147.1406
nantes,1000,5153.9814
lyon,1000,5170.1333
nantes,1000,5159.274
nantes,1000,5086.672
nantes,1000,5093.1973
nantes,1000,5098.399
nantes,1000,5104.3994
nantes,1000,5109.98
nancy,1000,5210.47
nancy,1000,5214.3506
nancy,1000,5217.904
nancy,1000,5220.8955
lyon,1000,5176.258
nancy,1000,5225.5386
lyon,1000,5081.4136
lyon,1000,5087.87
lyon,1000,5093.222
lyon,1000,5099.4336
lyon,1000,5105.235
lyon,1000,5074.5234
lyon,1000,5080.7876
lyon,1000,5086.163
lyon,1000,5092.0635
lyon,1000,5181.9673
lyon,1000,5097.827
rennes,1000,5106.9106
rennes,1000,5112.021
rennes,1000,5116.7144
rennes,1000,5120.781
rennes,1000,5126.154
nantes,1000,5039.8423
nantes,1000,5046.9536
nantes,1000,5051.9185
nantes,1000,5058.6035
lyon,1000,5187.385
nantes,1000,5064.6055
nantes,1000,5018.345
nantes,1000,5024.22
nantes,1000,5029.688
nantes,1000,5036.0205
nantes,1000,5042.0693
lyon,1000,5018.1733
lyon,1000,5024.6133
lyon,1000,5029.3013
lyon,1000,5035.9805
nancy,1000,5255.617
lyon,1000,5041.9834
nancy,1000,5122.479
nancy,1000,5126.1367
nancy,1000,5130.161
nancy,1000,5133.267
nancy,1000,5137.0938
nancy,1000,5103.458
nancy,1000,5106.641
nancy,1000,5111.0605
nancy,1000,5114.8335
nancy,1000,5258.75
nancy,1000,5119.517
rennes,1000,4975.0264
rennes,1000,4979.7183
rennes,1000,4984.064
rennes,1000,4988.197
rennes,1000,4993.6216
lyon,1000,4964.8813
lyon,1000,4971.5557
lyon,1000,4976.7686
lyon,1000,4983.522
nancy,1000,5262.3696
lyon,1000,4988.7935
rennes,1000,4982.563
rennes,1000,4987.21
rennes,1000,4991.975
rennes,1000,4997.5303
rennes,1000,5002.5864
nantes,1000,4931.526
nantes,1000,4937.7544
nantes,1000,4942.692
nantes,1000,4949.07
nancy,1000,5266.7134
nantes,1000,4955.0815
nancy,1000,5036.762
nancy,1000,5040.726
nancy,1000,5044.691
nancy,1000,5048.9443
nancy,1000,5052.4795
rennes,1000,4951.833
rennes,1000,4956.4604
rennes,1000,4960.583
rennes,1000,4966.493
lyon,100000,5123.8486
lyon,100000,5123.886
lyon,100000,5123.8936
lyon,100000,5123.9062
lyon,100000,5123.9116
lyon,100000,5123.9175
lyon,100000,5123.9253
lyon,100000,5123.93
lyon,100000,5123.9346
lyon,100000,5153.4473
lyon,100000,5153.4927
lyon,100000,5153.5044
lyon,100000,5153.5137
lyon,100000,5153.523
lyon,100000,5153.534
lyon,100000,5153.543
lyon,100000,5153.5522
lyon,100000,5153.5615
lyon,100000,5176.46
lyon,100000,5176.4873
lyon,100000,5176.494
lyon,100000,5176.4995
lyon,100000,5176.5063
lyon,100000,5176.512
lyon,100000,5176.541
lyon,100000,5176.5474
lyon,100000,5176.5747
lyon,100000,5199.5757
lyon,100000,5199.611
lyon,100000,5199.633
lyon,100000,5199.642
lyon,100000,5199.652
lyon,100000,5199.6655
lyon,100000,5199.6753
lyon,100000,5199.684
lyon,100000,5199.7095
lyon,100000,5222.7935
lyon,100000,5222.814
lyon,100000,5222.8203
lyon,100000,5222.8315
lyon,100000,5222.8364
lyon,100000,5222.8423
lyon,100000,5222.8496
lyon,100000,5222.854
lyon,100000,5222.859
lyon,100000,5245.842
lyon,100000,5245.8633
lyon,100000,5245.87
lyon,100000,5245.8755
lyon,100000,5245.9033
lyon,100000,5245.9106
lyon,100000,5245.916
lyon,100000,5245.921
lyon,100000,5245.9253
lyon,100000,5268.9614
lyon,100000,5268.9834
lyon,100000,5268.99
lyon,100000,5268.995
lyon,100000,5268.9995
lyon,100000,5269.005
lyon,100000,5269.0103
lyon,100000,5269.0146
lyon,100000,5269.0195
lyon,100000,5291.9165
lyon,100000,5291.9385
lyon,100000,5291.9443
lyon,100000,5291.9497
lyon,100000,5291.9546
lyon,100000,5291.9595
lyon,100000,5291.965
lyon,100000,5291.9697
lyon,100000,5291.9746
lyon,100000,5314.934
lyon,100000,5314.956
lyon,100000,5314.9863
lyon,100000,5314.993
lyon,100000,5314.998
lyon,100000,5315.0034
nancy,100000,5213.1323
nancy,100000,5213.151
nancy,100000,5213.1567
nancy,100000,5213.1665
nancy,100000,5213.17
nancy,100000,5213.1733
nancy,100000,5213.1777
nancy,100000,5213.181
nancy,100000,5213.185
nancy,100000,5242.705
