"index","ADDITIONAL_DATA_SIZE","run_index","time_rel","cpu_id","utilization_percentage"
168305,10000000,6,71.091,89,0.0
168306,10000000,6,71.091,90,0.0
168307,10000000,6,71.091,91,0.0
168308,10000000,6,71.091,92,0.0
168309,10000000,6,71.091,93,0.0
168310,10000000,6,71.091,94,0.0
168311,10000000,6,71.091,95,0.0
168312,10000000,6,71.091,96,0.0
168313,10000000,6,71.091,97,0.0
168314,10000000,6,71.091,98,0.0
168315,10000000,6,71.091,99,0.0
168316,10000000,6,71.091,100,0.0
168317,10000000,6,71.091,101,0.0
168318,10000000,6,71.091,102,0.0
168319,10000000,6,71.091,103,0.0
168320,10000000,6,71.091,104,0.0
168321,10000000,6,71.091,105,0.0
168322,10000000,6,71.091,106,0.0
168323,10000000,6,71.091,107,0.0
168324,10000000,6,71.091,108,0.0
168325,10000000,6,71.091,109,0.0
168326,10000000,6,71.091,110,0.0
168327,10000000,6,71.091,111,0.0
168328,10000000,6,71.091,112,0.0
168329,10000000,6,71.091,113,0.0
168330,10000000,6,71.091,114,0.0
168331,10000000,6,71.091,115,0.0
168332,10000000,6,71.091,116,0.0
168333,10000000,6,71.091,117,0.0
168334,10000000,6,71.091,118,0.0
168335,10000000,6,71.091,119,0.0
168336,10000000,6,71.091,120,0.0
168337,10000000,6,71.091,121,0.0
168338,10000000,6,71.091,122,0.0
168339,10000000,6,71.091,123,0.0
168340,10000000,6,71.091,124,0.0
168341,10000000,6,71.091,125,0.0
168342,10000000,6,71.091,126,0.0
168343,10000000,6,71.091,127,0.0
168344,10000000,6,71.091,-1,2.43
168345,10000000,6,72.092,0,25.0
168346,10000000,6,72.092,1,10.989
168347,10000000,6,72.092,2,0.0
168348,10000000,6,72.092,3,0.0
168349,10000000,6,72.092,4,100.0
168350,10000000,6,72.092,5,100.0
168351,10000000,6,72.092,6,0.0
168352,10000000,6,72.092,7,56.452
168353,10000000,6,72.092,8,0.0
168354,10000000,6,72.092,9,0.0
168355,10000000,6,72.092,10,0.0
168356,10000000,6,72.092,11,0.0
168357,10000000,6,72.092,12,0.0
168358,10000000,6,72.092,13,0.0
168359,10000000,6,72.092,14,0.0
168360,10000000,6,72.092,15,0.0
168361,10000000,6,72.092,16,0.0
168362,10000000,6,72.092,17,0.0
168363,10000000,6,72.092,18,0.0
168364,10000000,6,72.092,19,0.0
168365,10000000,6,72.092,20,0.0
168366,10000000,6,72.092,21,0.0
168367,10000000,6,72.092,22,0.0
168368,10000000,6,72.092,23,0.0
168369,10000000,6,72.092,24,0.0
168370,10000000,6,72.092,25,0.0
168371,10000000,6,72.092,26,0.0
168372,10000000,6,72.092,27,0.0
168373,10000000,6,72.092,28,0.0
168374,10000000,6,72.092,29,0.0
168375,10000000,6,72.092,30,0.0
168376,10000000,6,72.092,31,0.0
168377,10000000,6,72.092,32,0.0
168378,10000000,6,72.092,33,0.0
168379,10000000,6,72.092,34,0.0
168380,10000000,6,72.092,35,0.0
168381,10000000,6,72.092,36,0.0
168382,10000000,6,72.092,37,0.0
168383,10000000,6,72.092,38,0.0
168384,10000000,6,72.092,39,0.0
168385,10000000,6,72.092,40,0.0
168386,10000000,6,72.092,41,0.0
168387,10000000,6,72.092,42,0.0
168388,10000000,6,72.092,43,0.0
168389,10000000,6,72.092,44,0.0
168390,10000000,6,72.092,45,0.0
168391,10000000,6,72.092,46,0.0
168392,10000000,6,72.092,47,0.0
168393,10000000,6,72.092,48,0.0
168394,10000000,6,72.092,49,0.0
168395,10000000,6,72.092,50,0.0
168396,10000000,6,72.092,51,0.0
168397,10000000,6,72.092,52,0.0
168398,10000000,6,72.092,53,0.0
168399,10000000,6,72.092,54,0.0
168400,10000000,6,72.092,55,0.0
168401,10000000,6,72.092,56,0.0
168402,10000000,6,72.092,57,0.0
168403,10000000,6,72.092,58,0.0
168404,10000000,6,72.092,59,0.0
168405,10000000,6,72.092,60,0.0
168406,10000000,6,72.092,61,0.0
168407,10000000,6,72.092,62,0.0
168408,10000000,6,72.092,63,0.0
168409,10000000,6,72.092,64,0.0
168410,10000000,6,72.092,65,0.0
168411,10000000,6,72.092,66,0.0
168412,10000000,6,72.092,67,0.0
168413,10000000,6,72.092,68,0.0
168414,10000000,6,72.092,69,0.0
168415,10000000,6,72.092,70,0.0
168416,10000000,6,72.092,71,0.0
168417,10000000,6,72.092,72,0.0
168418,10000000,6,72.092,73,0.0
168419,10000000,6,72.092,74,0.0
168420,10000000,6,72.092,75,0.0
168421,10000000,6,72.092,76,0.0
168422,10000000,6,72.092,77,0.0
168423,10000000,6,72.092,78,0.0
168424,10000000,6,72.092,79,0.0
168425,10000000,6,72.092,80,0.0
168426,10000000,6,72.092,81,0.0
168427,10000000,6,72.092,82,0.0
168428,10000000,6,72.092,83,0.0
168429,10000000,6,72.092,84,0.0
168430,10000000,6,72.092,85,0.0
168431,10000000,6,72.092,86,0.0
168432,10000000,6,72.092,87,0.0
168433,10000000,6,72.092,88,0.0
168434,10000000,6,72.092,89,0.0
168435,10000000,6,72.092,90,0.0
168436,10000000,6,72.092,91,0.0
168437,10000000,6,72.092,92,0.0
168438,10000000,6,72.092,93,0.0
168439,10000000,6,72.092,94,0.0
168440,10000000,6,72.092,95,0.0
168441,10000000,6,72.092,96,0.0
168442,10000000,6,72.092,97,0.0
168443,10000000,6,72.092,98,0.0
168444,10000000,6,72.092,99,0.0
168445,10000000,6,72.092,100,0.0
168446,10000000,6,72.092,101,0.0
168447,10000000,6,72.092,102,0.0
168448,10000000,6,72.092,103,0.0
168449,10000000,6,72.092,104,0.0
168450,10000000,6,72.092,105,0.0
168451,10000000,6,72.092,106,0.0
168452,10000000,6,72.092,107,0.0
168453,10000000,6,72.092,108,0.0
168454,10000000,6,72.092,109,0.0
168455,10000000,6,72.092,110,0.0
168456,10000000,6,72.092,111,0.0
168457,10000000,6,72.092,112,0.0
168458,10000000,6,72.092,113,0.0
168459,10000000,6,72.092,114,0.0
168460,10000000,6,72.092,115,0.0
168461,10000000,6,72.092,116,0.0
168462,10000000,6,72.092,117,0.0
168463,10000000,6,72.092,118,0.0
168464,10000000,6,72.092,119,0.0
168465,10000000,6,72.092,120,0.0
168466,10000000,6,72.092,121,0.0
